CONTAINER ID   NAME      CPU %     MEM USAGE / LIMIT   MEM %     NET I/O   BLOCK I/O   PIDS
               --        0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
CONTAINER ID   NAME                          CPU %     MEM USAGE / LIMIT     MEM %     NET I/O     BLOCK I/O   PIDS
09bac00a508c   TestSlow8PeerPoSFixedGraph0   119.77%   292.7MiB / 25.01GiB   1.14%     696B / 0B   0B / 0B     40
CONTAINER ID   NAME                          CPU %     MEM USAGE / LIMIT     MEM %     NET I/O     BLOCK I/O   PIDS
09bac00a508c   TestSlow8PeerPoSFixedGraph0   103.06%   590.5MiB / 25.01GiB   2.31%     696B / 0B   0B / 0B     40
CONTAINER ID   NAME                          CPU %     MEM USAGE / LIMIT     MEM %     NET I/O     BLOCK I/O   PIDS
09bac00a508c   TestSlow8PeerPoSFixedGraph0   101.57%   814.7MiB / 25.01GiB   3.18%     696B / 0B   0B / 0B     41
CONTAINER ID   NAME                          CPU %     MEM USAGE / LIMIT     MEM %     NET I/O     BLOCK I/O   PIDS
09bac00a508c   TestSlow8PeerPoSFixedGraph0   62.52%    900.6MiB / 25.01GiB   3.52%     696B / 0B   0B / 0B     44
CONTAINER ID   NAME                          CPU %     MEM USAGE / LIMIT    MEM %     NET I/O     BLOCK I/O   PIDS
09bac00a508c   TestSlow8PeerPoSFixedGraph0   794.89%   2.22GiB / 25.01GiB   8.88%     766B / 0B   0B / 0B     53
CONTAINER ID   NAME                          CPU %     MEM USAGE / LIMIT     MEM %     NET I/O     BLOCK I/O   PIDS
09bac00a508c   TestSlow8PeerPoSFixedGraph0   787.54%   2.783GiB / 25.01GiB   11.13%    766B / 0B   0B / 0B     53
CONTAINER ID   NAME                          CPU %     MEM USAGE / LIMIT     MEM %     NET I/O     BLOCK I/O   PIDS
09bac00a508c   TestSlow8PeerPoSFixedGraph0   787.11%   3.594GiB / 25.01GiB   14.37%    766B / 0B   0B / 0B     53
CONTAINER ID   NAME                          CPU %     MEM USAGE / LIMIT     MEM %     NET I/O     BLOCK I/O   PIDS
09bac00a508c   TestSlow8PeerPoSFixedGraph0   793.87%   4.423GiB / 25.01GiB   17.68%    766B / 0B   0B / 0B     53
CONTAINER ID   NAME                          CPU %     MEM USAGE / LIMIT     MEM %     NET I/O     BLOCK I/O   PIDS
09bac00a508c   TestSlow8PeerPoSFixedGraph0   792.25%   5.229GiB / 25.01GiB   20.91%    766B / 0B   0B / 0B     53
CONTAINER ID   NAME                          CPU %     MEM USAGE / LIMIT     MEM %     NET I/O     BLOCK I/O   PIDS
09bac00a508c   TestSlow8PeerPoSFixedGraph0   800.78%   5.511GiB / 25.01GiB   22.03%    766B / 0B   0B / 0B     53
CONTAINER ID   NAME                          CPU %     MEM USAGE / LIMIT     MEM %     NET I/O     BLOCK I/O   PIDS
09bac00a508c   TestSlow8PeerPoSFixedGraph0   788.64%   5.541GiB / 25.01GiB   22.15%    766B / 0B   0B / 0B     53
CONTAINER ID   NAME                          CPU %     MEM USAGE / LIMIT     MEM %     NET I/O     BLOCK I/O   PIDS
09bac00a508c   TestSlow8PeerPoSFixedGraph0   799.78%   5.573GiB / 25.01GiB   22.28%    766B / 0B   0B / 0B     53
CONTAINER ID   NAME                          CPU %     MEM USAGE / LIMIT     MEM %     NET I/O     BLOCK I/O   PIDS
09bac00a508c   TestSlow8PeerPoSFixedGraph0   793.22%   5.609GiB / 25.01GiB   22.43%    836B / 0B   0B / 0B     53
CONTAINER ID   NAME                          CPU %     MEM USAGE / LIMIT     MEM %     NET I/O     BLOCK I/O   PIDS
09bac00a508c   TestSlow8PeerPoSFixedGraph0   792.25%   5.641GiB / 25.01GiB   22.55%    836B / 0B   0B / 0B     53
CONTAINER ID   NAME                          CPU %     MEM USAGE / LIMIT     MEM %     NET I/O     BLOCK I/O   PIDS
09bac00a508c   TestSlow8PeerPoSFixedGraph0   814.93%   5.677GiB / 25.01GiB   22.70%    836B / 0B   0B / 0B     56
CONTAINER ID   NAME                          CPU %     MEM USAGE / LIMIT     MEM %     NET I/O     BLOCK I/O   PIDS
09bac00a508c   TestSlow8PeerPoSFixedGraph0   798.49%   5.711GiB / 25.01GiB   22.83%    836B / 0B   0B / 0B     56
CONTAINER ID   NAME                          CPU %     MEM USAGE / LIMIT     MEM %     NET I/O     BLOCK I/O   PIDS
09bac00a508c   TestSlow8PeerPoSFixedGraph0   796.18%   5.741GiB / 25.01GiB   22.95%    836B / 0B   0B / 0B     56
